Year,Total
2015,2228949.96514511
2014,2119011.14271164
2013,2346994.9360733
2012,2479860.47506332
2011,2128455.62636948
2010,2527150.87298584
2009,2449742.78985214
2008,2385196.31234741
2007,2404448.18068695
2006,2335579.46452332
2005,2240834.53738664
2004,2222199.7683475
2003,2063031.72663116
2002,2507460.73377609
2001,2488687.77802277
2000,2494539.94805908
1999,2395872.71386719
1998,2488953.7229538
1997,2270289.41566086
1996,2250604.98271942
1995,2310996.413797
